a	a
écrivit          écriv
écrivît          écriv
écrivîtes        écriv
écrou            écrou
écroué           écrou
écroula          écroul
écroulaient        écroul
écu              écu
écueil           écueil
écuelle          écuel
écumait          écum
ecumeur          ecumeur
écumeuses        écum
écureuil         écureuil
écurie           écur
écuries          écur
écus             écus
écuyer           écui
édification        édif
édifice          édific
edimbourg        edimbourg
édimbourg        édimbourg
